ClusterName,Latitude,Longitude,Frequency
Cluster_0,19.048099375,72.84967075,540
Cluster_1,19.060669,72.89523033333333,359
Cluster_2,19.064766000000002,72.85630833333335,470
Cluster_3,19.113851500000003,72.9121863,295
Cluster_4,19.045320999999998,72.870837,181
Cluster_5,19.1259735,72.926492,360
Cluster_6,19.11658366666667,72.854271,252
Cluster_7,19.11268457142857,72.93847299999999,234
Cluster_8,19.057520750000002,72.83074825,166
Cluster_9,19.118646066666667,72.86816426666668,646
Cluster_10,19.079521,72.863431,331
Cluster_11,19.04847311764706,72.84344629411764,750
Cluster_12,19.093515,72.8841052857143,284
Cluster_13,19.07174923076923,72.87368361538462,442
Cluster_14,19.090912666666668,72.86755749999999,118
