ClusterName,Latitude,Longitude,Frequency,Freq_Percent,Color
Cluster_0,19.048099375,72.84967075,540,0.72,orange
Cluster_1,19.060669,72.89523033333333,359,0.4786666666666667,yellow
Cluster_2,19.064766,72.85630833333335,470,0.6266666666666667,orange
Cluster_3,19.113851500000003,72.9121863,295,0.3933333333333333,yellow
Cluster_4,19.045321,72.870837,181,0.24133333333333334,green
Cluster_5,19.1259735,72.926492,360,0.48,yellow
Cluster_6,19.11658366666667,72.854271,252,0.336,yellow
Cluster_7,19.11268457142857,72.93847299999999,234,0.312,green
Cluster_8,19.05752075,72.83074825,166,0.22133333333333333,green
Cluster_9,19.118646066666667,72.86816426666668,646,0.8613333333333333,red
Cluster_10,19.079521,72.863431,331,0.44133333333333336,yellow
Cluster_11,19.04847311764706,72.84344629411764,750,1.0,red
Cluster_12,19.093515,72.8841052857143,284,0.37866666666666665,yellow
Cluster_13,19.07174923076923,72.87368361538462,442,0.5893333333333334,orange
Cluster_14,19.090912666666668,72.86755749999999,118,0.15733333333333333,green
