location,frequency,latitude,longitude,,,,,,,,,,
azad maidan,1,18.9389,72.8353,,,,,,,,,,
bandra,17,19.0544,72.8402,,,,,,,,,,
bhoiwada,2,19.0207,72.8562,,,,,,,,,,
bkc,10,19.0671,72.8619,,,,,,,,,,
borivali,11,19.2291,72.8573,,,,,,,cluster_id,frequency,latitude,longitude
byculla,1,18.9769,72.8325,,,,,,,1,41,19.06204,72.85018
chembur,28,19.0623,72.9011,,,,,,,2,46,19.03068571,72.8635125
chunabhatti,1,19.0482,72.8845,,,,,,,,,,
colaba,3,18.915,72.8258,,,,,,,,,,
d.b.marg,2,18.9429,72.8347,,,,,,,,,,
dadar,26,19.0193,72.8424,,,,,,,,,,
dahisar,10,19.2502,72.8595,,,,,,,,,,
deonar,1,19.0514,72.9047,,,,,,,,,,
dharavi,4,19.039,72.8554,,,,,,,,,,
dindoshi,9,19.1723,72.8623,,,,,,,,,,
ghatkopar,5,19.0865,72.908,,,,,,,,,,
goregaon,20,19.1646,72.8493,,,,,,,,,,
jogeshwari,12,19.1349,72.8488,,,,,,,,,,
kalbadevi,3,18.9497,72.8314,,,,,,,,,,
kandivali,8,19.2084,72.8422,,,,,,,,,,
kanjurmarg,1,19.1314,72.928,,,,,,,,,,
kurla,12,19.0772,72.8793,,,,,,,,,,
mahim,3,19.0359,72.8403,,,,,,,,,,
malad,21,19.1867,72.8486,,,,,,,,,,
malbarhill,1,18.9582,72.7986,,,,,,,,,,
mankhurd,7,19.0486,72.9384,,,,,,,,,,
marinedrive,1,18.9447,72.8238,,,,,,,,,,
matunga,14,19.027,72.8554,,,,,,,,,,
MHB,1,19.1812,72.843,,,,,,,,,,
MIDC,13,19.1183,72.8648,,,,,,,,,,
mulund,14,19.1718,72.9553,,,,,,,,,,
D.N. nagar,38,19.1297,72.8293,,,,,,,,,,
nagpada,3,18.9683,72.8265,,,,,,,,,,
oshiwara,8,19.154,72.8439,,,,,,,,,,
powai,10,19.1187,72.9073,,,,,,,,,,
pydhunie,5,18.9543,72.8333,,,,,,,,,,
sahar police station,16,19.1003,72.8622,,,,,,,,,,
sakinaka,9,19.1006,72.891,,,,,,,,,,
samtanagar,11,19.2095,72.857,,,,,,,,,,
Santacruz,17,19.0818,72.8416,,,,,,,,,,
tardeo,12,18.9708,72.8135,,,,,,,,,,
Trombey,1,19.0705,72.8141,,,,,,,,,,
vakola,10,19.0798,72.8543,,,,,,,,,,
vikhroli,8,19.1187,72.9284,,,,,,,,,,
wadala,4,19.025,72.864,,,,,,,,,,
worli,9,19.0117,72.8184,,,,,,,,,,
